run_id,scale,structure,pe_type,mixing_ratio,epoch,params_count,wasserstein_dist,id_loss,ood_loss,seed
small_deep_ape_ratio0.5_N1000000,small,deep,ape,0.5,3,5732928,2.7912156890041175,0.38008820356578304,0.5225435827568079,42
small_deep_ape_ratio1.0_N1000000,small,deep,ape,1.0,1,5732928,2.7759775519709606,0.7417181256939384,1.7467574581932337,42
small_deep_ape_ratio1.0_N1000000,small,deep,ape,1.0,2,5732928,2.7759775519709606,0.7339866204030069,1.743665092859786,42
small_deep_ape_ratio1.0_N1000000,small,deep,ape,1.0,3,5732928,2.7759775519709606,0.7337929069843439,1.7473004511750925,42
small_deep_ape_ratio1.0_N1000000,small,deep,ape,1.0,3,5732928,2.763189927006085,0.3528584535695465,1.4552999195779206,42
small_deep_rope_ratio0.0_N1000000,small,deep,rope,0.0,1,5733888,0.2733985140634013,1.017751745479491,1.5296957161479865,42
small_deep_rope_ratio0.0_N1000000,small,deep,rope,0.0,2,5733888,0.2733985140634013,1.0119251561591693,1.5265735555380677,42
small_deep_rope_ratio0.0_N1000000,small,deep,rope,0.0,3,5733888,0.2733985140634013,1.0119026604363375,1.5265829319390245,42
small_deep_rope_ratio0.0_N1000000,small,deep,rope,0.0,3,5733888,0.1904163624038711,0.42490147953222596,1.0364857095821647,42
small_deep_rope_ratio0.5_N1000000,small,deep,rope,0.5,1,5733888,2.7834299721901647,0.943156266380149,1.134408087776111,42
small_deep_rope_ratio0.5_N1000000,small,deep,rope,0.5,2,5733888,2.7834299721901647,0.9383689857199978,1.128971080810498,42
small_deep_rope_ratio0.5_N1000000,small,deep,rope,0.5,3,5733888,2.7834299721901647,0.9382873109691893,1.128891473761001,42
small_deep_rope_ratio0.5_N1000000,small,deep,rope,0.5,3,5733888,2.7912156890041175,0.42713075094473185,0.5834885607859132,42
small_deep_rope_ratio1.0_N1000000,small,deep,rope,1.0,1,5733888,2.7759775519709606,0.9587131842322971,1.3815423482523177,42
small_deep_rope_ratio1.0_N1000000,small,deep,rope,1.0,2,5733888,2.7759775519709606,0.951551510930976,1.3773563681319119,42
